bmi,steps,heart_rate,temperature,wellness_score
31.1,935,123,36.2,90
36.8,407,101,36.5,85
21.5,522,91,36.6,90
35.0,676,119,36.7,90
30.8,870,109,37.0,90
35.6,521,84,38.5,60
23.8,659,97,36.5,100
33.3,609,102,38.3,65
37.8,578,96,37.2,85
35.4,435,90,38.4,60
23.1,285,76,36.6,80
30.9,494,102,36.9,90
17.4,1607,148,36.6,80
34.1,237,81,36.7,80
33.9,335,88,36.8,80
26.8,719,101,36.5,95
22.7,1171,109,39.0,75
38.5,452,93,36.8,85
24.2,1469,139,36.9,95
32.7,655,98,36.9,90
27.1,740,110,36.7,95
33.9,481,108,36.5,90
32.9,485,90,36.3,90
22.7,770,110,36.8,100
29.9,953,113,37.6,85
39.0,543,103,36.4,85
25.2,808,108,36.7,95
20.1,1488,144,36.9,95
36.1,335,95,36.5,75
19.6,1899,160,36.7,95
18.3,622,89,37.0,75
28.9,728,106,36.8,95
32.4,32,81,36.2,70
24.7,873,107,37.1,100
20.7,1140,118,36.9,100
17.9,1196,127,36.8,85
25.1,701,89,36.7,95
17.6,1053,111,36.6,85
36.3,184,87,37.1,65
17.5,1475,143,36.3,80
38.2,414,82,37.0,85
34.6,340,84,36.6,80
29.9,1246,125,37.0,95
37.3,802,117,36.5,85
28.2,72,80,38.6,50
39.4,779,116,36.9,85
20.5,1341,118,37.0,100
16.3,1070,104,36.3,85
29.2,651,110,36.9,95
20.7,1101,120,36.5,100
18.8,905,98,36.9,100
22.4,723,108,36.2,100
38.5,266,92,36.7,75
33.8,519,98,36.8,90
25.6,516,96,37.0,85
36.0,783,101,37.1,85
16.5,1193,140,36.7,85
35.2,799,128,36.3,85
37.8,728,112,36.7,85
28.2,678,96,37.0,95
20.2,1855,159,36.4,95
23.1,638,89,36.5,100
29.1,782,106,36.3,95
22.9,608,89,36.5,90
32.5,928,114,37.1,90
24.7,1007,113,36.9,100
28.7,481,87,36.8,85
18.8,1665,136,36.9,95
35.8,537,102,36.2,85
24.3,472,91,39.1,50
17.5,925,104,36.5,85
39.8,589,107,36.3,85
38.2,748,106,36.9,85
18.9,682,100,36.9,90
21.6,987,119,37.0,100
38.7,683,112,36.6,85
23.4,1056,134,36.7,95
25.9,822,112,36.7,95
28.8,804,117,36.6,95
32.1,241,81,36.4,80
33.9,486,79,36.8,90
36.6,556,91,36.5,85
22.4,639,87,36.2,100
24.0,1515,138,37.1,95
16.3,1127,118,36.5,85
19.0,2188,162,37.2,95
22.0,759,101,36.5,100
35.0,465,102,36.7,90
26.1,874,103,37.0,95
21.9,848,93,36.7,100
28.8,790,110,37.2,95
25.1,1106,119,37.1,95
16.5,1002,107,36.8,85
19.1,2099,173,37.0,95
26.0,714,109,36.6,95
29.7,804,117,36.8,95
29.9,904,109,36.5,95
38.7,832,125,36.7,85
31.8,460,95,36.5,80
34.5,501,107,39.3,50
25.5,567,102,37.1,85
31.5,825,95,36.3,90
39.6,320,89,36.8,75
37.6,247,91,37.6,65
17.2,1158,115,36.6,85
19.3,1472,137,37.2,95
39.2,495,97,37.2,85
21.9,312,103,38.3,55
37.8,739,103,36.2,85
35.0,727,104,37.1,90
31.2,662,98,36.9,90
28.4,1127,125,36.3,95
29.4,786,98,36.6,95
21.5,1483,145,36.6,95
37.4,396,103,37.0,85
28.8,581,102,37.6,85
16.3,1402,129,36.6,85
38.4,452,95,36.8,85
37.2,490,83,38.5,60
37.7,477,107,37.0,85
38.9,731,109,37.6,75
31.8,504,87,36.5,90
22.2,387,77,37.0,90
21.4,1285,130,36.6,100
39.4,467,81,36.5,85
23.3,65,69,36.2,80
24.1,1106,122,36.5,100
27.4,544,87,36.9,95
30.8,263,84,37.0,70
28.4,471,93,36.5,85
27.5,747,103,36.9,95
26.6,731,94,36.9,95
18.7,1669,139,36.7,95
23.9,1026,123,37.1,100
17.6,1141,113,36.2,85
36.0,484,106,36.6,85
31.6,814,110,36.9,90
17.4,1932,157,36.4,80
23.8,1287,125,36.6,100
35.8,160,76,36.7,65
19.4,1298,146,37.1,95
37.0,613,114,36.9,85
17.3,1971,162,37.1,80
25.8,445,90,36.7,85
18.9,1892,151,36.8,95
29.2,395,86,37.0,85
16.8,884,111,36.7,85
36.7,686,109,37.1,85
28.6,774,112,36.7,95
27.7,688,104,37.1,95
31.0,739,99,36.9,90
19.1,1420,144,36.9,95
35.4,686,97,36.5,85
34.5,319,89,36.4,80
36.1,773,131,36.4,80
24.7,269,80,36.9,80
20.1,1255,127,36.6,100
28.9,448,81,37.2,85
30.8,316,93,37.1,80
31.1,609,106,37.1,90
35.1,352,87,36.8,85
26.2,193,80,37.0,75
30.2,791,120,36.8,90
32.5,534,82,36.8,90
30.0,381,81,39.1,45
21.1,2396,184,36.8,95
39.5,207,81,36.2,75
38.1,495,100,36.7,85
19.2,2143,167,36.8,95
16.3,1602,149,36.5,80
18.7,2595,205,39.4,55
20.0,1050,111,37.1,100
16.5,920,105,36.4,85
28.3,725,93,36.3,95
33.3,435,95,36.3,90
37.4,771,128,36.2,85
25.1,976,110,36.4,95
39.9,299,87,36.9,75
27.2,735,110,36.9,95
20.2,1199,130,36.5,100
39.0,586,105,37.0,85
17.3,1355,124,36.7,85
33.9,515,100,36.8,90
38.1,273,85,36.2,75
21.1,2231,187,37.0,95
28.7,577,85,36.8,95
17.0,1002,117,36.4,85
39.3,400,94,39.3,45
24.6,636,83,36.9,100
28.0,1007,124,36.3,95
34.7,361,98,36.2,90
20.9,1887,155,37.2,95
26.4,1374,131,36.6,90
31.0,652,103,36.2,90
34.0,407,83,36.5,90
35.9,416,90,37.1,85
31.1,1139,135,36.7,85
33.9,322,66,37.9,70
36.5,531,98,36.3,85
17.8,1702,151,36.6,80
25.8,1500,154,36.6,90
21.7,1042,108,37.2,100
23.9,1066,133,36.6,95
35.4,424,102,36.5,85
16.1,1168,121,36.5,85
30.4,867,108,36.9,90
36.5,470,107,36.6,85
34.8,471,115,36.8,90
19.6,1115,122,39.4,60
24.3,633,99,37.0,100
24.4,1111,131,37.0,95
34.9,534,91,36.4,90
21.3,1151,114,36.9,100
28.7,926,116,36.5,95
24.4,756,100,37.0,100
22.3,1147,126,37.0,100
25.5,1050,114,37.0,95
34.9,384,90,36.8,90
35.1,684,87,37.2,85
17.3,648,80,36.7,75
19.8,1347,133,37.1,95
29.8,45,87,36.3,75
36.5,386,80,37.0,85
32.7,585,97,36.6,90
36.4,371,98,36.5,85
18.9,539,91,36.8,90
33.4,306,85,36.6,80
23.4,902,99,36.6,100
30.8,1262,137,36.7,85
30.4,934,118,36.3,90
20.6,1895,159,37.1,95
36.2,593,104,36.7,85
23.1,913,106,37.0,100
31.8,360,87,37.0,80
39.5,305,96,36.5,75
28.8,572,91,36.8,95
39.8,621,99,36.4,85
20.1,1520,142,36.5,95
24.1,757,112,36.7,100
17.4,1630,135,36.7,80
18.8,1112,114,36.3,100
21.0,2184,171,36.7,95
36.3,548,103,36.9,85
31.3,1033,140,36.2,85
32.2,589,99,36.5,90
20.2,591,91,37.0,90
19.5,2138,162,36.8,95
25.9,1075,114,36.7,95
23.2,1763,158,36.3,95
32.4,854,105,36.4,90
27.8,621,94,37.0,95
39.5,324,84,36.4,75
16.6,809,114,37.1,75
24.9,1495,149,36.6,95
34.1,869,112,36.3,90
16.8,852,100,36.5,85
29.4,205,83,36.3,75
25.2,855,101,37.1,95
33.0,489,82,36.7,90
38.2,615,116,36.4,85
31.1,960,121,37.0,90
30.1,1062,122,36.9,90
31.8,446,84,36.7,80
30.4,38,85,36.3,70
34.4,830,118,37.1,90
22.5,543,86,36.9,90
24.5,1136,125,37.2,100
25.3,794,107,36.6,95
36.7,433,107,37.5,85
20.9,1674,137,37.1,95
35.8,658,106,36.7,85
34.8,323,78,36.7,80
35.5,545,89,36.3,85
25.9,834,98,36.9,95
31.2,531,89,37.1,90
26.6,940,126,38.1,70
24.2,1376,137,39.4,55
35.4,434,89,36.7,85
32.3,583,95,36.5,90
35.0,495,90,36.3,90
25.0,1543,133,37.1,95
26.8,1191,120,36.5,95
20.4,1240,134,39.3,55
24.9,1402,144,37.0,95
23.4,1012,112,37.1,100
29.3,792,112,36.6,95
31.1,409,106,36.7,80
30.1,953,127,36.5,90
24.5,1160,108,37.1,100
32.7,244,87,36.2,80
17.3,1481,145,36.9,80
32.4,352,89,37.0,90
39.6,603,102,36.3,85
29.3,1111,131,37.1,90
34.0,525,92,36.9,90
32.5,598,110,36.3,90
33.0,475,99,37.0,90
29.1,1091,128,36.3,95
21.7,2038,161,37.1,95
16.9,690,96,37.0,75
25.7,1292,121,38.3,70
17.0,1722,144,38.2,55
37.2,947,114,36.4,85
29.9,444,92,36.9,85
36.6,720,114,36.4,85
39.5,815,119,36.6,85
30.6,674,98,37.2,90
24.3,981,117,38.8,75
25.0,601,113,37.9,80
17.3,1340,123,36.4,85
26.0,764,102,36.5,95
18.6,371,77,36.4,80
22.2,509,100,37.6,80
21.8,710,99,37.0,90
29.6,532,99,36.9,95
26.9,892,125,36.7,95
25.5,1253,120,36.7,95
32.0,427,98,38.4,65
27.3,1102,130,36.6,95
17.7,885,101,36.6,85
17.2,748,107,36.2,75
35.4,713,112,36.6,85
16.7,0,64,36.3,65
25.5,373,84,36.9,85
31.7,568,101,36.3,90
35.1,585,101,36.8,85
21.6,1633,148,37.0,95
25.4,1487,133,36.8,90
28.0,598,101,36.4,95
24.8,1547,155,37.1,95
29.4,381,98,36.4,85
21.7,623,85,36.9,90
36.2,524,98,37.7,75
24.6,474,83,36.8,90
34.0,553,88,37.1,90
28.2,1059,124,36.9,95
27.8,1053,120,36.2,95
36.7,606,92,37.2,85
39.6,499,88,36.7,85
25.5,1240,143,36.4,90
32.2,375,83,37.0,90
35.3,314,87,36.9,75
21.0,762,111,36.9,90
38.7,327,99,36.3,75
16.4,866,100,36.6,85
24.3,906,110,36.8,100
27.5,549,91,36.9,95
21.3,957,124,38.6,75
34.0,334,83,36.6,80
38.2,389,86,36.6,85
20.3,1270,135,37.2,95
30.7,85,65,36.3,70
25.9,861,110,36.4,95
31.1,717,118,36.6,90
31.7,804,118,36.8,90
38.2,328,86,36.8,75
19.0,2015,187,36.9,95
17.4,1663,158,36.6,80
30.2,942,125,36.5,90
27.9,758,109,36.3,95
35.4,329,102,36.7,75
32.3,263,93,37.1,80
17.5,679,98,36.3,75
31.4,789,114,36.4,90
26.3,1697,166,36.2,90
21.5,740,94,36.2,90
36.5,191,84,36.9,65
27.8,709,98,36.4,95
34.1,374,90,36.7,90
25.7,956,123,36.8,95
19.7,1031,112,36.6,100
26.6,1474,142,37.2,90
19.1,631,92,36.9,90
26.5,891,118,36.4,95
38.0,383,96,36.9,85
19.7,1195,124,36.7,100
27.2,583,88,36.2,95
34.2,273,88,36.8,80
30.1,640,101,37.1,90
16.4,652,94,36.4,75
27.8,381,86,36.6,85
16.2,1124,114,36.6,85
16.4,1284,134,37.1,80
30.4,136,78,36.7,70
31.5,716,100,36.5,90
16.9,985,102,36.8,85
30.8,779,101,37.0,90
29.8,700,109,37.0,95
29.0,1056,111,39.2,55
30.4,778,93,36.5,90
22.3,960,103,37.9,90
21.0,1560,141,37.1,95
21.5,1911,153,37.2,95
39.8,272,75,36.9,75
35.3,378,92,36.6,85
31.1,897,112,36.8,90
25.2,708,98,36.8,95
32.9,476,98,36.3,90
25.7,1047,104,37.1,95
30.1,589,97,36.4,90
18.5,762,107,36.6,90
16.3,763,97,36.7,75
33.4,694,108,36.5,90
27.0,1053,106,36.8,95
24.0,885,126,36.6,100
33.7,622,102,37.0,90
34.9,274,90,36.8,80
39.8,523,107,36.5,85
29.7,264,84,37.0,75
20.7,562,89,39.3,50
34.6,583,97,36.4,90
21.4,1369,136,36.4,95
31.9,1212,132,37.2,85
17.5,1470,135,36.8,80
35.0,868,104,36.7,90
17.8,1003,115,37.0,85
18.1,2564,194,37.2,80
35.0,408,99,36.8,90
39.8,771,124,36.5,85
26.3,1144,105,36.7,95
37.6,527,97,37.1,85
27.6,104,69,36.9,75
28.1,402,86,37.0,85
28.7,516,102,36.4,95
25.6,1083,109,37.0,95
29.1,398,88,36.7,85
26.4,1038,109,39.1,55
34.7,222,77,36.5,80
28.2,366,92,37.0,85
33.6,545,100,36.2,90
21.2,1807,162,36.3,95
32.8,475,86,37.1,90
23.5,1446,141,37.0,95
17.4,672,87,37.9,65
28.6,168,69,36.8,75
25.9,1180,136,36.6,90
17.6,792,118,37.0,75
24.7,365,94,36.9,90
38.5,449,89,36.7,85
22.9,667,87,36.3,100
31.4,620,103,36.2,90
17.0,1421,141,36.7,80
19.5,904,101,36.3,100
24.6,1071,108,36.5,100
30.5,1004,124,39.3,50
38.9,619,96,36.5,85
21.6,1536,135,36.5,95
38.5,758,121,37.0,85
28.4,966,121,36.3,95
19.5,1042,114,36.9,100
28.8,629,100,37.1,95
35.8,701,121,36.6,85
16.3,732,93,37.1,75
26.3,942,114,36.7,95
21.2,1482,134,36.6,95
31.7,1209,134,36.6,85
38.2,204,86,36.6,75
22.2,1278,127,36.6,100
34.8,470,85,37.0,90
34.0,342,100,36.2,80
17.6,1228,122,36.7,85
24.1,394,89,37.7,80
25.6,1241,142,37.1,90
37.7,547,111,37.0,85
37.4,825,132,37.0,80
31.4,478,87,36.5,80
17.7,1518,143,36.9,80
20.8,0,83,37.2,80
24.4,1620,151,38.5,70
38.9,405,85,37.1,85
20.5,1903,165,36.7,95
28.8,754,117,36.9,95
37.6,759,111,37.1,85
26.9,1657,144,39.2,50
35.4,668,108,36.4,85
37.2,723,113,37.1,85
35.2,739,116,37.1,85
25.0,1025,118,36.7,100
31.5,778,101,36.3,90
25.9,783,116,37.2,95
16.3,459,82,36.6,65
25.9,863,107,36.4,95
27.1,462,86,36.8,85
17.1,1381,131,36.9,80
39.4,819,125,36.9,85
23.5,1274,148,37.1,95
24.1,438,97,37.0,90
23.8,1019,120,36.9,100
19.9,1181,134,37.0,100
36.9,511,97,36.7,85
38.0,483,102,36.2,85
35.4,484,98,37.1,85
23.5,390,98,36.6,90
24.9,359,74,36.4,80
24.6,513,82,37.2,90
35.2,107,63,36.8,65
25.9,343,78,36.9,75
36.2,600,107,36.6,85
17.0,1448,141,39.0,55
27.2,840,114,36.7,95
24.0,1113,122,37.1,100
37.6,772,123,36.9,85
37.7,464,109,36.7,85
29.9,790,111,36.5,95
34.0,449,90,37.2,90
38.1,504,93,38.6,60
32.3,283,70,36.5,80
20.0,632,91,37.0,90
26.0,1295,127,36.9,95
31.7,1112,133,36.8,85
22.4,1472,130,36.4,100
30.7,1004,134,37.1,85
38.8,492,93,37.0,85
25.3,831,106,36.6,95
26.4,709,96,37.0,95
29.3,921,109,37.0,95
27.9,594,95,37.1,95
18.1,834,115,36.2,75
35.4,389,92,36.5,85
29.2,175,78,37.1,75
30.1,578,71,36.7,90
37.0,548,102,36.5,85
38.2,483,99,36.8,85
16.1,1267,128,36.2,85
31.1,974,126,36.6,90
33.5,607,108,36.3,90
33.3,173,84,37.0,70
24.1,1330,130,36.8,100
37.7,0,70,36.5,65
31.6,236,81,36.7,70
26.1,710,101,37.2,95
23.4,694,109,36.3,100
24.0,772,108,37.1,100
37.2,581,98,37.9,75
22.7,1142,110,37.0,100
39.3,494,101,36.4,85
29.5,464,92,36.8,85
29.3,778,129,39.5,55
37.6,547,98,37.2,85
21.2,1572,138,36.8,95
26.4,900,117,36.9,95
18.0,878,110,36.9,85
18.1,2082,169,36.7,80
19.0,1585,139,36.8,95
27.5,808,97,36.4,95
19.3,758,107,36.4,90
19.2,2221,171,37.1,95
25.9,1184,126,36.8,95
33.6,794,106,36.7,90
34.9,357,86,36.3,90
29.4,501,89,37.0,95
20.0,845,102,38.0,90
18.8,1223,127,37.0,100
38.4,751,120,37.0,85
20.2,1172,126,38.0,90
39.8,359,104,36.4,85
27.4,861,118,36.6,95
22.7,1073,136,36.8,95
34.2,818,98,36.3,90
16.3,1040,97,36.4,85
20.5,1185,137,36.7,100
28.4,848,104,37.0,95
38.2,624,108,36.7,85
28.5,789,109,36.8,95
21.9,1569,141,36.4,95
23.6,671,96,36.9,100
18.3,1593,150,36.7,80
22.4,783,121,37.9,90
33.0,647,100,36.5,90
26.7,736,122,36.2,95
19.2,951,110,36.5,100
22.7,1303,126,37.0,100
21.7,1257,131,39.0,70
